MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
FIAT,500C 2 DR HATCHBACK CONVERTIBLE,11,355,163,152,230,1098,80,61,37,84,101,71,54,142,140,63/37
FIAT,500C 2 DR HATCHBACK CONVERTIBLE ABARTH,12,367,163,150,230,1130,88,37,34,85,104,78,59,141,141,62/38
FIAT,500L 4DR HATCHBACK,13,425,179,165,261,1476,93,137,40,87,110,86,78,151,151,61/39
FIAT,500X 4DR SUV AWD,15,426,180,161,257,1487,110,156,40,87,107,88,81,154,154,61/39
FORD,ECOSPORT 4DR CUV AWD,19,410,176,165,252,1497,95,135,42,84,97,85,75,152,152,59/41
FORD,ECOSPORT 4DR CUV FWD,19,410,176,165,252,1370,95,135,42,84,97,85,75,152,152,59/41
FORD,EDGE 4DR SUV 2.0L AWD,19,480,193,174,285,1875,108,158,50,79,108,97,99,165,164,58/42
FORD,EDGE 4DR SUV 2.0L FWD,19,480,193,174,285,1800,108,158,50,79,108,97,99,165,164,58/42
FORD,EDGE 4DR SUV 2.7L AWD,19,480,193,174,285,2035,108,158,50,79,108,97,99,165,164,58/42
FORD,ESCAPE 4DR SUV AWD,16,454,184,168,269,1668,104,166,41,88,107,93,92,156,158,58/42
FORD,ESCAPE 4DR SUV FWD,16,454,184,168,269,1611,104,166,41,88,107,93,92,156,158,58/42
FORD,EXPEDITION 4WD SUV,18,533,203,194,311,2551,134,215,45,82,139,97,127,172,171,50/50
FORD,EXPEDITION MAX 4WD SUV,18,564,203,194,334,2628,134,245,45,82,139,97,133,172,171,50/50
FORD,EXPLORER 4DR SUV AWD,16,504,200,177,287,2146,120,199,40,95,127,98,119,170,170,54/46
FORD,EXPLORER 4DR SUV FWD,16,504,200,177,287,2067,120,199,40,95,127,98,119,170,170,54/46
FORD,F-150 P/U REG CAB 6.5-FT BOX 2WD,14,527,203,192,311,1837,133,247,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U REG CAB 6.5-FT BOX 4X4,14,527,203,195,311,1955,133,247,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U REG CAB 8-FT BOX 2WD,14,574,203,191,358,1884,133,294,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U REG CAB 8-FT BOX 4X4,14,574,203,195,358,1989,133,294,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCAB 6.5-FT BOX 2WD,14,584,203,192,368,1983,133,304,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCAB 6.5-FT BOX 4X4,14,584,203,196,368,2081,133,304,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCAB 8-FT BOX 2WD,14,632,203,192,416,2059,133,352,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCAB 8-FT BOX 4X4,14,632,203,196,416,2217,133,352,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCREW 5.5-FT BOX 2WD,14,584,203,192,368,2028,133,304,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCREW 5.5-FT BOX 4X4,14,584,203,196,368,2130,133,304,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCREW 6.5-FT BOX 2WD,14,614,203,192,398,2087,133,334,48,96,140,96,120,172,172,58/42
FORD,F-150 P/U SUPERCREW 6.5-FT BOX 4X4,14,614,203,196,398,2236,133,334,48,96,140,96,120,172,172,58/42
FORD,F-150 RAPTOR SUPERCAB 5.5-FT BOX 4X4,17,554,219,199,341,2506,133,274,48,96,140,94,119,188,187,58/42
FORD,F-150 RAPTOR SUPERCREW 5.5-FT BOX 4X4,17,584,219,199,371,2584,133,304,48,96,140,94,119,188,187,58/42
FORD,F-250 SD P/U CREW CAB L/BOX,17,670,203,198,447,2854,134,385,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U CREW CAB L/BOX 4X4,17,670,203,207,447,3037,134,385,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U CREW CAB S/BOX,17,629,203,199,406,2745,134,344,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U CREW CAB S/BOX 4X4,17,629,203,207,406,2938,134,344,47,90,141,97,126,174,171,N/A
